emergency		29 Jul 2014 08:42:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 08:42:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 08:42:21 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 08:42:21 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:02:49 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 09:02:50 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:02:53 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:03:07 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:03:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Games Service Called		29 Jul 2014 09:03:14 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2Run Game Starts 	29 Jul 2014 09:05:01 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:10 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:11 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:11 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:16 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:30 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:30 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:31 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:32 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:06:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 09:06:37 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:45 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:06:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:06:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:06:52 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Report Service Called		29 Jul 2014 09:06:52 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:06:54 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 09:07:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
Hungry Alert Service Called		29 Jul 2014 09:07:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 09:11:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
Hungry Alert Service Called		29 Jul 2014 09:11:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:11:08 GMT	209 Brush Creek Blvd, Kansas City, United States	
Thirsty Alert Service Called		29 Jul 2014 09:11:08 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:11:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
Thirsty Alert Service Called		29 Jul 2014 09:11:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:11:16 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:11:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:11:21 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 09:11:21 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:11:24 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Games Service Called		29 Jul 2014 09:11:25 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:11:34 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 09:11:34 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:11:47 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:11:50 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 09:11:53 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:11:56 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 09:11:56 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:12:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2run game starts	29 Jul 2014 09:12:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:06 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:12:10 GMT	209 Brush Creek Blvd, Kansas City, United States	
The Got2Run Ends 	29 Jul 2014 09:12:10 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:12:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 09:12:13 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:12:21 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:31 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:36 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:40 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:12:43 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:12:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:12:49 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 09:12:51 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 09:12:54 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:13:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:13:02 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 09:13:05 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:13:07 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:13:09 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:13:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:13:17 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 09:13:19 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 09:13:23 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 09:13:25 GMT	209 Brush Creek Blvd, Kansas City, United States	
